group,id_player,age,gender,income,risk_0,risk_3,risk_4,risk_5,n_session,n_round_total,n_round_mean,n_round_median,bet_max,bet_min,bet_mean,bet_median,win_prob,win_max,win_min,win_mean,win_median,loss_max,loss_min,loss_mean,loss_median,total_spent
Low-Risk,LR_853,61,Female,19239.52727567668,1,0,0,0,2,127,63.5,63.5,1,0.25,0.5413385826771654,0.25,15.748031496062993,24.75,0.25,2.1875,0.5,1,0.25,0.5397196261682243,0.25,14
Low-Risk,LR_854,24,Male,18789.373813575272,1,0,0,0,1,59,59,59,0.25,0.25,0.25,0.25,18.64406779661017,1.5,0.25,0.6363636363636364,0.5,0.25,0.25,0.25,0.25,5
Low-Risk,LR_855,80,Female,16081.0476064887,1,0,0,0,11,2087,189.72727272727272,145,1,0.25,0.5420459990416866,0.5,25.49113560134164,49.5,0.5,1.5178571428571428,1,1,0.25,0.542604501607717,0.5,36.25
Low-Risk,LR_856,25,Female,NA,1,0,0,0,1,4,4,4,5,5,5,5,0,NA,NA,NA,NA,5,5,5,5,20
Low-Risk,LR_857,33,Female,17004.685166025865,1,0,0,0,2,79,39.5,39.5,2.5,0.25,0.8386075949367089,1,18.9873417721519,4,0.25,1.1,1,2.5,0.25,0.8828125,1,40
Low-Risk,LR_858,29,Male,NA,1,0,0,0,1,2,2,2,0.25,0.25,0.25,0.25,0,NA,NA,NA,NA,0.25,0.25,0.25,0.25,0.5
Low-Risk,LR_859,25,Male,22105.590569510612,1,0,0,0,4,290,72.5,67.5,20,2.5,13.172413793103448,15,22.413793103448278,195,5,25.384615384615383,20,20,2.5,13.133333333333333,10,1305
Low-Risk,LR_86,46,Female,19183.33983474538,1,0,0,0,1,10,10,10,0.5,0.25,0.475,0.5,40,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
Low-Risk,LR_860,55,Female,20796.453128650093,1,0,0,0,30,1042,34.733333333333334,20,1,0.25,0.3670825335892514,0.25,23.704414587332053,29.5,0.25,1.007085020242915,0.5,1,0.25,0.36792452830188677,0.25,43.75
Low-Risk,LR_861,26,Male,NA,1,0,0,0,2,113,56.5,56.5,0.5,0.25,0.413716814159292,0.5,19.469026548672566,1,0.25,0.6818181818181818,0.5,0.5,0.25,0.41208791208791207,0.5,22.5
Low-Risk,LR_862,50,Male,18903.59968339016,1,0,0,0,1,22,22,22,1,0.25,0.2840909090909091,0.25,13.636363636363635,0.5,0.25,0.3333333333333333,0.25,1,0.25,0.2894736842105263,0.25,4.5
Low-Risk,LR_863,25,Male,14058.268518749028,1,0,0,0,1,37,37,37,1,1,1,1,18.91891891891892,2,1,1.4285714285714286,1,1,1,1,1,20
Low-Risk,LR_864,28,Female,17159.824011345216,1,0,0,0,2,101,50.5,50.5,0.5,0.25,0.2623762376237624,0.25,21.782178217821784,1,0.25,0.375,0.25,0.5,0.25,0.2626582278481013,0.25,12.5
Low-Risk,LR_865,35,Female,16081.0476064887,1,0,0,0,1,156,156,156,0.5,0.25,0.30288461538461536,0.25,27.564102564102566,5.5,0.25,0.5755813953488372,0.5,0.5,0.25,0.3075221238938053,0.25,10
