group,id_player,prev_outcome,n_round,n_round_change,stake_change_prop,stake_change_size_overall,stake_change_level_overall,stake_change_size,stake_change_level
High-Risk,250,loss,42034,109,0.2593138887567208,0.0034674311271827565,0.0017366893467193221,1.3371559633027523,0.6697247706422018
High-Risk,250,win,13058,0,0,0,0,NA,NA
High-Risk,251,loss,1389,3,0.21598272138228944,0.0010799136069114472,0.0021598272138228943,0.5,1
High-Risk,251,win,397,2,0.5037783375314862,0,0,0,0
High-Risk,252,loss,10480,297,2.8339694656488548,-0.007919847328244274,-0.0125,-0.27946127946127947,-0.44107744107744107
High-Risk,252,win,3551,0,0,0,0,NA,NA
High-Risk,253,loss,11,10,90.9090909090909,1.1363636363636365,0.2727272727272727,1.25,0.3
High-Risk,253,win,4,3,75,1.25,0.25,1.6666666666666667,0.3333333333333333
High-Risk,254,loss,3208,19,0.5922693266832918,-0.0011689526184538654,-0.003117206982543641,-0.19736842105263158,-0.5263157894736842
High-Risk,254,win,1014,1,0.09861932938856016,9.861932938856016e-4,0.0019723865877712033,1,2
High-Risk,255,loss,121,1,0.8264462809917356,0.004132231404958678,0.008264462809917356,0.5,1
High-Risk,255,win,43,0,0,0,0,NA,NA
High-Risk,256,loss,207,2,0.966183574879227,-0.0036231884057971015,-0.00966183574879227,-0.375,-1
High-Risk,256,win,89,1,1.1235955056179776,0.008426966292134831,0.02247191011235955,0.75,2
High-Risk,257,loss,439,11,2.5056947608200453,-0.004555808656036446,0,-0.18181818181818182,0
High-Risk,257,win,109,1,0.9174311926605505,-0.0045871559633027525,-0.009174311926605505,-0.5,-1
High-Risk,258,loss,301,8,2.6578073089700998,0.06229235880398671,0.019933554817275746,2.34375,0.75
High-Risk,258,win,94,0,0,0,0,NA,NA
High-Risk,259,loss,48,0,0,0,0,NA,NA
High-Risk,259,win,4,0,0,0,0,NA,NA
High-Risk,260,loss,63,3,4.761904761904762,-0.007936507936507936,-0.015873015873015872,-0.16666666666666666,-0.3333333333333333
High-Risk,260,win,16,0,0,0,0,NA,NA
